file_id,original_name,sha256,size_bytes,mime,status,source,license_guess,repo_url,commit_sha,tags,notes
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/extra.css,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/extra.css,f2fde735f03c1cb72d42d17762f93b21dbf855ebae2a962c577e179146fca0bd,1743,text/css,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/owl.css,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/owl.css,9664866ee8f65fb7b98b52e5a1566bba96e18a5d187b39b6049ca6bbc992869c,4636,text/css,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/rec.css,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/rec.css,db4cb56f26e193cc165748efab42915106fd0c84bd474f0a529783967e3a7566,2547,text/css,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/marked.min.js,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/marked.min.js,b9dccce413ab31869677033aad7f6aba5492f4338be162d9b03ce5fe1da789b4,19153,text/javascript,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,code,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/jquery.js,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/jquery.js,797a685f3f470e34384ca7a9dd529ae23dfb1d597671f7cb3e8258b986ce8c38,91573,text/javascript,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,code,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/provenance/provenance-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/provenance/provenance-en.html,9734887fa0fc4f033707a604a77758e37ad2a19f93f413dedf056a715545af0a,748,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/provenance/provenance-en.ttl,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/provenance/provenance-en.ttl,bfb3fd636570b6eef82b07b632c9eea08cb528f7e19b3aff3ca53bf23d2298e9,462,text/turtle,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,ontology,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/favicon.ico,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/favicon.ico,c5bd4a733d00a1984a4fe9c5a641f226c1a9cfc7a6f8edab20d923672cc8eee3,1150,image/x-icon,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/index.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/index.html,a40b3707a752e6d4d326eda75427fa933ccc7aa6584d5e0b711cf484a6990e78,19536,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/license.txt,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/license.txt,fd15d0c07432070563a3dff38128d471cb9fded0816def6d527b73135ab164a8,1167,text/plain,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,docs,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/css/webvowl.css,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/css/webvowl.css,0e56e795ce09ebbf05b5fc944acb1bda6e2fe866e5c0d998891c427ce450978e,2625,text/css,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/css/webvowl.app.css,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/css/webvowl.app.css,38132c6cce7d2e68bf96e1720de9118edffb871a019d66d6ff998493225ad8bf,16588,text/css,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/js/webvowl.js,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/js/webvowl.js,a17418e86f9c1cfb26312455d667cdc2ed942cc4cabc7aeb78653327c7618542,140584,text/javascript,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,code,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/js/webvowl.app.js,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/webvowl/js/webvowl.app.js,b8f4ded36cdb1b1cdcf2ba17664fd7e08ddd3f650ed251443db16b2966325430,66655,text/javascript,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,code,
